"Station_id","year","min_date","max_date","avg_salinity (ppt)","std_deviation_salinity (ppt)","min_salinity (ppt)","max_salinity (ppt)","avg_adj_water_elev_datum(ft)","std_deviation_adj_water_elev_datum(ft)","min_adj_water_elev_datum(ft)","max_adj_water_elev_datum(ft)","avg_adj_water_elev_to_marsh(ft)","std_deviation_adj_water_elev_to_marsh (ft)","min_adj_water_elev_to_marsh(ft)","max_adj_water_elev_to_marsh(ft)","avg_water_temperature (C DegC)","std_deviation_water_temperature (C DegC)","min_temperature (C DegC)","max_temperature (C DegC)","percent_salinity_complete","percent_water_level_complete","GEOID",
"BA01-01","2010","1/1/2010 12:00:00 AM","12/31/2010 11:00:00 PM","0.322554794069567","0.223859039049818","0.07","1.48","0.974713468928843","0.634251954002256","-0.9","2.84","0.244713470177538","0.634251955201843","-1.63","2.11","21.7773881219838","7.75647733047078","2.87","34.09","100","100","GEOID99   ",
"BA01-02","2010","1/1/2010 12:00:00 AM","12/31/2010 11:00:00 PM","0.289048905722179","0.0801622326848301","0.17","1.01","0.963072709798425","0.605916581996716","-0.93","2.82","0.173072710341726","0.605916582383315","-1.72","2.03","21.2929716200697","7.84176773195434","0.62","33.48","84.49771","75.04566","GEOID99   ",
"BA01-03","2010","1/1/2010 12:00:00 AM","12/31/2010 11:00:00 PM","0.217447488754137","0.0445972777050264","0.09","0.51","0.949779679278575","0.650620407700485","-0.91","2.91","-0.280220319498671","0.650620407267152","-2.14","1.68","21.6205844830841","8.21870857804969","0.53","35.82","100","100","GEOID99   ",
"BA01-04","2010","1/1/2010 12:00:00 AM","12/31/2010 11:00:00 PM","0.263645809961321","0.0552795490159418","0.1","0.5","1.0463484809803","0.645127274138379","-0.9","2.9","","","","","21.6722436585255","7.75130189312354","2.38","32.64","99.97717","99.97717","GEOID99   ",
"BA01-07","2010","1/1/2010 12:00:00 AM","12/31/2010 11:00:00 PM","0.981624456121088","1.5094692606429","0.08","17.49","1.097753900347","0.587566773491783","-0.84","2.87","-0.552246098648199","0.587566774385224","-2.49","1.22","20.8552730461264","8.00237635770216","1.6","36.08","89.24657","89.24657","GEOID99   ",
"BA01-10","2010","1/1/2010 12:00:00 AM","12/31/2010 11:00:00 PM","0.962563034614948","1.18877612024152","0.14","11.93","1.06298732429133","0.632731453434086","-0.91","3.06","-0.0670138175890787","0.632732965762715","-2.04","1.93","22.2174420424543","8.08865652522174","2.83","34.81","98.69863","99.96575","GEOID99   ",
"BA01-14","2010","1/1/2010 12:00:00 AM","12/31/2010 11:00:00 PM","0.224754510880823","0.0762039176610704","0.08","0.39","1.73396527769904","0.417044248643863","1.12","2.93","-0.0112365838623031","0.354277521092196","-0.62","1.09","18.3474668978012","6.29085082367672","4.74","27.22","99.97717","99.95434","GEOID99   ",
"BA01-15","2010","1/1/2010 12:00:00 AM","12/31/2010 11:00:00 PM","0.653003423778366","0.225081149073884","0.24","1.08","1.0463484809803","0.645127274138379","-0.9","2.9","0.423333332890891","0.497783196698552","-0.43","2.17","19.4086643904856","4.03742650567752","11.13","25.49","100","99.97717","GEOID99   ",
"BA01-16","2010","1/1/2010 12:00:00 AM","12/31/2010 11:00:00 PM","","","","","1.73396323038362","0.417041559595656","1.12","2.93","","","","","","","","","0","99.97717","GEOID99   ",
"BA01-40","2010","2/5/2010 11:00:00 AM","12/17/2010 9:00:00 PM","","","","","2.62083898426689","1.23297226141989","0.49","4.47","","","","","19.6058527976537","8.47545100727812","3.1","33.2","0","45.44521","",
"BA01-41","2010","2/5/2010 12:00:00 PM","12/17/2010 9:00:00 PM","","","","","1.40746600384397","0.981137528172324","-0.29","3.15","","","","","18.9910074160037","7.40373706027567","6.4","34","0","36.94064","",
"BA01-42","2010","1/1/2010 12:00:00 AM","12/17/2010 9:00:00 PM","","","","","1.08082457867735","0.849892480784814","-0.44","2.59","","","","","21.5503088233646","6.47793608809004","7","31.9","0","36.96347","",
