"SiteId","veg_year","Marsh_Class","Basin",
"CRMS0002","2012","Brackish","Pontchartrain",
"CRMS0003","2012","Saline","Pontchartrain",
"CRMS0006","2012","Brackish","Pontchartrain",
"CRMS0008","2012","Swamp","Pontchartrain",
"CRMS0030","2012","Intermediate","Pontchartrain",
"CRMS0033","2012","Intermediate","Pontchartrain",
"CRMS0034","2012","Intermediate","Pontchartrain",
"CRMS0035","2012","Swamp","Pontchartrain",
"CRMS0038","2012","Swamp","Pontchartrain",
"CRMS0039","2012","Swamp","Pontchartrain",
"CRMS0046","2012","Swamp","Pontchartrain",
"CRMS0047","2012","Swamp","Pontchartrain",
"CRMS0056","2012","Swamp","Pontchartrain",
"CRMS0058","2012","Swamp","Pontchartrain",
"CRMS0059","2012","Swamp","Pontchartrain",
"CRMS0061","2012","Swamp","Pontchartrain",
"CRMS0063","2012","Swamp","Pontchartrain",
"CRMS0065","2012","Swamp","Pontchartrain",
"CRMS0086","2012","Swamp","Pontchartrain",
"CRMS0089","2012","Swamp","Pontchartrain",
"CRMS0090","2012","Swamp","Pontchartrain",
"CRMS0097","2012","Swamp","Pontchartrain",
"CRMS0103","2012","Swamp","Pontchartrain",
"CRMS0108","2012","Saline","Pontchartrain",
"CRMS0114","2012","Intermediate","Breton Sound",
"CRMS0115","2012","Fresh","Breton Sound",
"CRMS0117","2012","Intermediate","Breton Sound",
"CRMS0118","2012","Intermediate","Breton Sound",
"CRMS0119","2012","Brackish","Breton Sound",
"CRMS0120","2012","Fresh","Breton Sound",
"CRMS0121","2012","Intermediate","Breton Sound",
"CRMS0125","2012","Intermediate","Breton Sound",
"CRMS0128","2012","Fresh","Breton Sound",
"CRMS0129","2012","Saline","Breton Sound",
"CRMS0131","2012","Intermediate","Breton Sound",
"CRMS0132","2012","Intermediate","Breton Sound",
"CRMS0135","2012","Brackish","Breton Sound",
"CRMS0136","2012","Brackish","Breton Sound",
"CRMS0139","2012","Brackish","Breton Sound",
"CRMS0146","2012","Intermediate","Breton Sound",
"CRMS0147","2012","Saline","Breton Sound",
"CRMS0148","2012","Brackish","Breton Sound",
"CRMS0153","2012","Intermediate","Mississippi River Delta",
"CRMS0154","2012","Fresh","Mississippi River Delta",
"CRMS0156","2012","Intermediate","Mississippi River Delta",
"CRMS0157","2012","Intermediate","Mississippi River Delta",
"CRMS0159","2012","Intermediate","Mississippi River Delta",
"CRMS0161","2012","Intermediate","Mississippi River Delta",
"CRMS0162","2012","Intermediate","Mississippi River Delta",
"CRMS0163","2012","Intermediate","Mississippi River Delta",
"CRMS0164","2012","Saline","Barataria",
"CRMS0171","2012","Saline","Barataria",
"CRMS0172","2012","Saline","Barataria",
"CRMS0173","2012","Saline","Barataria",
"CRMS0174","2012","Saline","Barataria",
"CRMS0175","2012","Saline","Barataria",
"CRMS0176","2012","Saline","Barataria",
"CRMS0178","2012","Saline","Barataria",
"CRMS0179","2012","Saline","Barataria",
"CRMS0181","2012","Saline","Barataria",
"CRMS0185","2012","Swamp","Barataria",
"CRMS0188","2012","Intermediate","Barataria",
"CRMS0189","2012","Fresh","Barataria",
"CRMS0190","2012","Intermediate","Barataria",
"CRMS0192","2012","Fresh","Barataria",
"CRMS0194","2012","Swamp","Barataria",
"CRMS0197","2012","Swamp","Barataria",
"CRMS0200","2012","Swamp","Barataria",
"CRMS0206","2012","Swamp","Barataria",
"CRMS0209","2012","Saline","Barataria",
"CRMS0211","2012","Fresh","Barataria",
"CRMS0217","2012","Swamp","Barataria",
"CRMS0218","2012","Swamp","Barataria",
"CRMS0219","2012","Fresh","Barataria",
"CRMS0220","2012","Brackish","Barataria",
"CRMS0224","2012","Saline","Barataria",
"CRMS0225","2012","Brackish","Barataria",
"CRMS0226","2012","Saline","Barataria",
"CRMS0232","2012","Saline","Barataria",
"CRMS0234","2012","Swamp","Barataria",
"CRMS0237","2012","Saline","Barataria",
"CRMS0241","2012","Swamp","Barataria",
"CRMS0248","2012","Brackish","Barataria",
"CRMS0251","2012","Brackish","Barataria",
"CRMS0253","2012","Brackish","Barataria",
"CRMS0258","2012","Saline","Barataria",
"CRMS0260","2012","Brackish","Barataria",
"CRMS0261","2012","Intermediate","Barataria",
"CRMS0263","2012","Brackish","Barataria",
"CRMS0268","2012","Fresh","Barataria",
"CRMS0272","2012","Saline","Barataria",
"CRMS0273","2012","Fresh","Barataria",
"CRMS0276","2012","Saline","Barataria",
"CRMS0278","2012","Intermediate","Barataria",
"CRMS0282","2012","Saline","Barataria",
"CRMS0287","2012","Intermediate","Barataria",
"CRMS0290","2012","Fresh","Terrebonne",
"CRMS0292","2012","Saline","Terrebonne",
"CRMS0293","2012","Brackish","Terrebonne",
"CRMS0294","2012","Fresh","Terrebonne",
"CRMS0296","2012","Fresh","Terrebonne",
"CRMS0301","2012","Fresh","Terrebonne",
"CRMS0302","2012","Saline","Terrebonne",
"CRMS0303","2012","Saline","Terrebonne",
"CRMS0305","2012","Intermediate","Terrebonne",
"CRMS0307","2012","Brackish","Terrebonne",
"CRMS0309","2012","Brackish","Terrebonne",
"CRMS0310","2012","Saline","Terrebonne",
"CRMS0311","2012","Saline","Terrebonne",
"CRMS0312","2012","Intermediate","Terrebonne",
"CRMS0315","2012","Brackish","Terrebonne",
"CRMS0318","2012","Saline","Terrebonne",
"CRMS0319","2012","Saline","Terrebonne",
"CRMS0322","2012","Saline","Terrebonne",
"CRMS0324","2012","Swamp","Terrebonne",
"CRMS0326","2012","Brackish","Terrebonne",
"CRMS0327","2012","Fresh","Terrebonne",
"CRMS0329","2012","Fresh","Terrebonne",
"CRMS0331","2012","Fresh","Terrebonne",
"CRMS0332","2012","Saline","Terrebonne",
"CRMS0335","2012","Saline","Terrebonne",
"CRMS0336","2012","Saline","Terrebonne",
"CRMS0337","2012","Saline","Terrebonne",
"CRMS0338","2012","Saline","Terrebonne",
"CRMS0341","2012","Saline","Terrebonne",
"CRMS0345","2012","Saline","Terrebonne",
"CRMS0347","2012","Saline","Terrebonne",
"CRMS0354","2012","Brackish","Terrebonne",
"CRMS0355","2012","Saline","Terrebonne",
"CRMS0365","2012","Fresh","Terrebonne",
"CRMS0367","2012","Fresh","Terrebonne",
"CRMS0369","2012","Brackish","Terrebonne",
"CRMS0371","2012","Fresh","Terrebonne",
"CRMS0374","2012","Saline","Terrebonne",
"CRMS0376","2012","Saline","Terrebonne",
"CRMS0377","2012","Saline","Terrebonne",
"CRMS0381","2012","Fresh","Terrebonne",
"CRMS0382","2012","Fresh","Terrebonne",
"CRMS0383","2012","Saline","Terrebonne",
"CRMS0385","2012","Brackish","Terrebonne",
"CRMS0386","2012","Saline","Terrebonne",
"CRMS0387","2012","Saline","Terrebonne",
"CRMS0390","2012","Brackish","Terrebonne",
"CRMS0392","2012","Intermediate","Terrebonne",
"CRMS0394","2012","Brackish","Terrebonne",
"CRMS0395","2012","Brackish","Terrebonne",
"CRMS0396","2012","Brackish","Terrebonne",
"CRMS0397","2012","Saline","Terrebonne",
"CRMS0398","2012","Intermediate","Terrebonne",
"CRMS0399","2012","Brackish","Terrebonne",
"CRMS0400","2012","Saline","Terrebonne",
"CRMS0403","2012","Swamp","Terrebonne",
"CRMS0409","2012","Fresh","Terrebonne",
"CRMS0411","2012","Fresh","Terrebonne",
"CRMS0414","2012","Swamp","Terrebonne",
"CRMS0416","2012","Brackish","Terrebonne",
"CRMS0421","2012","Saline","Terrebonne",
"CRMS0434","2012","Saline","Terrebonne",
"CRMS0461","2012","Fresh","Atchafalaya",
"CRMS0463","2012","Fresh","Atchafalaya",
"CRMS0464","2012","Fresh","Atchafalaya",
"CRMS0465","2012","Fresh","Atchafalaya",
"CRMS0479","2012","Fresh","Atchafalaya",
"CRMS0482","2012","Fresh","Atchafalaya",
"CRMS0488","2012","Intermediate","Teche/Vermilion",
"CRMS0489","2012","Fresh","Teche/Vermilion",
"CRMS0490","2012","Fresh","Teche/Vermilion",
"CRMS0493","2012","Fresh","Teche/Vermilion",
"CRMS0494","2012","Intermediate","Teche/Vermilion",
"CRMS0496","2012","Intermediate","Teche/Vermilion",
"CRMS0498","2012","Brackish","Teche/Vermilion",
"CRMS0499","2012","Brackish","Teche/Vermilion",
"CRMS0501","2012","Intermediate","Teche/Vermilion",
"CRMS0504","2012","Brackish","Teche/Vermilion",
"CRMS0507","2012","Brackish","Teche/Vermilion",
"CRMS0508","2012","Brackish","Teche/Vermilion",
"CRMS0511","2012","Intermediate","Teche/Vermilion",
