"Site_Id","veg_year","Percent_Cover_Tree (m²)","Percent_Cover_Shrub (m²)","Percent_Cover_Herb (m²)","Percent_Cover_Carpet (m²)","Avg_Height_Tree (m)","Avg_Height_Shrub (m)","Avg_Height_Herb (m)","Avg_Height_Carpet (m)","Volume_Tree (m³)","Volume_Shrub (m³)","Volume_Herb (m³)","Volume_Carpet (m³)","Volume_Vegetation (m³)","VVI",
"CRMS0002","2016","0","0","2.74","0","0","0","0.82","0","0","0","2.268","0","2.268","40.3242",
"CRMS0003","2016","0","0","3.4","0","0","0","0.68","0","0","0","2.298","0","2.298","45.514",
"CRMS0006","2016","0","0","3.06","0","0","0","0.615","0","0","0","1.866","0","1.866","27.6494",
"CRMS0030","2016","0","0.22","3.04","0","0","0.6096","0.9632","0","0","0.6706","2.9888","0","3.6594","50.8079",
"CRMS0033","2016","0","0","2.98","0","0","0","0.8809","0","0","0","2.6426","0","2.6426","38.4675",
"CRMS0034","2016","0","0","3.1","0","0","0","0.78","0","0","0","2.416","0","2.416","35.3683",
"CRMS0108","2016","0","0","3.088","0","0","0","0.89","0","0","0","2.692","0","2.692","60.1222",
"CRMS0114","2016","0","0.38","2.72","0","0","0.325","0.723","0","0","0.7","1.9998","0","2.6998","39.1303",
"CRMS0115","2016","0","0","3.54","0.24","0","0","0.576","0.0155","0","0","2.0786","0.0099","2.0885","31.4522",
"CRMS0117","2016","0.06","0","3.26","0","1.19","0","0.85","0","0.354","0","2.8056","0","3.1596","46.3924",
"CRMS0118","2016","0","0","3.4","0","0","0","1.0546","0","0","0","3.9538","0","3.9538","56.2482",
"CRMS0119","2016","0","0","3.66","0","0","0","0.9418","0","0","0","3.4563","0","3.4563","79.1893",
"CRMS0120","2016","0.38","0.24","2.42","0.168","0.8534","0.3658","0.4389","0.0167","1.6215","0.4999","1.2679","0.0082","3.3975","39.9723",
"CRMS0121","2016","0","0","0.66","0","0","0","0.307","0","0","0","0.5054","0","0.5054","7.3341",
"CRMS0125","2016","0","0","2.54","0","0","0","0.4145","0","0","0","1.2307","0","1.2307","19.3841",
"CRMS0128","2016","1.12","0.06","2.692","0.04","2.635","0.2","0.54","0.005","7.548","0.12","1.476","0.002","9.146","58.0147",
"CRMS0129","2016","0","0","3.76","0","0","0","1.0332","0","0","0","3.8836","0","3.8836","84",
"CRMS0131","2016","0","0.02","3.68","0.068","0","0.1158","0.9479","0.0167","0","0.0232","3.5252","0.003","3.5513","56.615",
"CRMS0132","2016","0","0.72","3.06","0.08","0","0.9083","0.7071","0.003","0","0.8345","2.1676","0.0024","3.0046","47.1296",
"CRMS0135","2016","0","0","2.84","0","0","0","0.707","0","0","0","2.0594","0","2.0594","39.1586",
"CRMS0136","2016","0","0","3.72","0","0","0","0.8443","0","0","0","3.1417","0","3.1417","49.3167",
"CRMS0139","2016","0","0","2.52","0","0","0","0.5913","0","0","0","2.1189","0","2.1189","30.5118",
"CRMS0146","2016","0","0","2.86","0.18","0","0","0.8595","0.0021","0","0","2.4864","0.0022","2.4886","45.4732",
"CRMS0147","2016","0","0","3.388","0","0","0","0.824","0","0","0","2.8086","0","2.8086","61.6945",
"CRMS0148","2016","0","0.216","3.24","0","0","0.5639","1.1277","0","0","0.2805","3.6167","0","3.8972","75.3976",
"CRMS0153","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"CRMS0154","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"CRMS0156","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"CRMS0157","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"CRMS0159","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"CRMS0161","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"CRMS0162","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"CRMS0163","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"CRMS0164","2016","0","0","2.74","0","0","0","0.9994","0","0","0","2.7345","0","2.7345","61.6708",
"CRMS0171","2016","0","0.092","3.04","0","0","0.2134","0.9205","0","0","0.1085","2.8144","0","2.9229","65.9557",
"CRMS0172","2016","0","0","3.68","0","0","0","0.9448","0","0","0","3.4788","0","3.4788","82.4303",
"CRMS0173","2016","0","0","3.6","0","0","0","0.9113","0","0","0","3.2881","0","3.2881","76.9198",
"CRMS0174","2016","0","0","1.8","0","0","0","0.4694","0","0","0","1.4142","0","1.4142","28.0108",
"CRMS0175","2016","0","0","3.04","0","0","0","0.9692","0","0","0","2.9546","0","2.9546","66.9213",
"CRMS0176","2016","0","0","0.8","0","0","0","0.2377","0","0","0","0.5882","0","0.5882","11.0731",
"CRMS0178","2016","0","0","1.72","0","0","0","0.4364","0","0","0","1.2579","0","1.2579","23.284",
"CRMS0179","2016","0","0","3.38","0","0","0","1.0698","0","0","0","3.6715","0","3.6715","76.71",
"CRMS0181","2016","0","0","3.54","0","0","0","0.9022","0","0","0","3.2015","0","3.2015","75.3767",
"CRMS0188","2016","0.48","0.06","3.68","0.02","1.7374","0.3353","0.8991","0.0091","2.8834","0.2012","3.3155","0.0018","6.4019","63.5592",
"CRMS0189","2016","0","0","3.72","0.02","0","0","1.0119","0.0049","0","0","3.7563","0.0005","3.7567","53.7643",
"CRMS0190","2016","0","0.012","2.86","0","0","0.0914","0.8229","0","0","0.011","2.3987","0","2.4097","35.7954",
"CRMS0192","2016","0","0","2.94","0","0","0","1.1765","0","0","0","3.4656","0","3.4656","49.6528",
"CRMS0209","2016","0","0","2.82","0","0","0","0.6096","0","0","0","2.1512","0","2.1512","46.8423",
"CRMS0211","2016","0","0.1","3.28","0","0","0.2743","1.2131","0","0","0.1372","3.9898","0","4.1269","58.766",
"CRMS0219","2016","0","0","3.9","0","0","0","1.0729","0","0","0","4.1933","0","4.1933","59.507",
"CRMS0220","2016","0","0","2.668","0.02","0","0","0.6614","0.003","0","0","1.7829","0.0006","1.7835","31.0846",
"CRMS0224","2016","0","0","2.96","0","0","0","0.8991","0","0","0","2.9778","0","2.9778","65.3818",
"CRMS0225","2016","0","0","2.38","0","0","0","0.8869","0","0","0","2.203","0","2.203","39.3532",
"CRMS0226","2016","0","0","3.66","0","0","0","0.9875","0","0","0","3.6118","0","3.6118","86.0316",
"CRMS0232","2016","0","0","3.18","0","0","0","0.7864","0","0","0","2.5072","0","2.5072","53.4175",
"CRMS0237","2016","0","0","3.68","0","0","0","1.146","0","0","0","4.2335","0","4.2335","90.2868",
"CRMS0248","2016","0","0","3.28","0","0","0","0.704","0","0","0","2.3181","0","2.3181","46.088",
"CRMS0251","2016","0","0","3.46","0","0","0","0.9448","0","0","0","3.2862","0","3.2862","74.8423",
"CRMS0253","2016","0","0","1.5","0.08","0","0","0.5395","0.0012","0","0","1.0137","0.0004","1.0141","13.9218",
"CRMS0258","2016","0","0","2.58","0","0","0","0.739","0","0","0","2.1382","0","2.1382","43.5459",
"CRMS0260","2016","0","0","3.34","0","0","0","0.8138","0","0","0","2.7553","0","2.7553","60.3506",
"CRMS0261","2016","0","0","3.74","0","0","0","0.8199","0","0","0","3.0625","0","3.0625","44.9277",
"CRMS0263","2016","0","0","2.18","0","0","0","0.573","0","0","0","1.2768","0","1.2768","19.3977",
"CRMS0268","2016","0","0.108","2.98","0","0","0.4267","1.0911","0","0","0.1603","3.2375","0","3.3978","48.7134",
"CRMS0272","2016","0","0","3.132","0","0","0","1.3045","0","0","0","4.0884","0","4.0884","90.0475",
"CRMS0273","2016","0","0","3.6","0","0","0","0.8168","0","0","0","2.9516","0","2.9516","42.5423",
"CRMS0276","2016","0","0","3.3","0","0","0","0.7041","0","0","0","2.2835","0","2.2835","45.1215",
"CRMS0278","2016","0","0","3.46","0","0","0","0.9113","0","0","0","3.1393","0","3.1393","45.5052",
"CRMS0282","2016","0","0","3.08","0","0","0","0.825","0","0","0","2.5376","0","2.5376","53.811",
"CRMS0287","2016","0","0","3.74","0.04","0","0","0.9266","0.0043","0","0","3.4727","0.0006","3.4733","50.3936",
"CRMS0290","2016","0","0","3.06","0","0","0","0.7595","0","0","0","2.3385","0","2.3385","34.5453",
"CRMS0292","2016","0","1.328","0.51","0","0","0.7666","0.4557","0","0","1.6608","0.3865","0","2.0473","39.3482",
"CRMS0293","2016","0","0","3.46","0","0","0","0.7559","0","0","0","2.6211","0","2.6211","40.6701",
"CRMS0294","2016","0","0","3.32","0","0","0","0.99","0","0","0","3.284","0","3.284","47.2588",
"CRMS0296","2016","0","0","2.54","0","0","0","0.8778","0","0","0","2.2518","0","2.2518","33.4388",
"CRMS0301","2016","0.42","0.12","2.9","0","1.6764","0.5791","0.9449","0","2.5298","0.3414","2.7413","0","5.6126","61.8276",
"CRMS0302","2016","0","0","2.4","0","0","0","0.6492","0","0","0","1.5526","0","1.5526","21.4072",
"CRMS0303","2016","0","0","2.96","0","0","0","0.7284","0","0","0","2.103","0","2.103","40.7822",
"CRMS0305","2016","0","0.06","3.26","0","0","0.2743","0.9936","0","0","0.1646","3.2222","0","3.3868","46.2879",
"CRMS0307","2016","0","0","2.64","0","0","0","1.0088","0","0","0","2.6322","0","2.6322","57.0724",
"CRMS0309","2016","0","0","3.22","0","0","0","0.6675","0","0","0","2.1646","0","2.1646","33.7346",
"CRMS0310","2016","0","0","2.36","0","0","0","0.9205","0","0","0","2.1476","0","2.1476","41.4755",
"CRMS0311","2016","0","0","3.06","0","0","0","0.8595","0","0","0","2.6285","0","2.6285","56.5083",
"CRMS0312","2016","0","0","2.84","0","0","0","0.9357","0","0","0","2.5657","0","2.5657","37.9689",
"CRMS0315","2016","0","0","2.64","0","0","0","0.8168","0","0","0","2.3914","0","2.3914","51.7689",
"CRMS0318","2016","0","0","2.724","0","0","0","0.8565","0","0","0","2.3664","0","2.3664","51.4357",
"CRMS0319","2016","0","0","2.74","0","0","0","0.8656","0","0","0","2.3908","0","2.3908","49.9407",
"CRMS0322","2016","0","0","2.712","0","0","0","0.823","0","0","0","2.2982","0","2.2982","48.6483",
"CRMS0326","2016","0","0","3.18","0","0","0","0.738","0","0","0","2.3556","0","2.3556","46.9724",
"CRMS0327","2016","0","0","3.32","0","0","0","0.992","0","0","0","3.2726","0","3.2726","46.9661",
"CRMS0329","2016","0","0","3.36","0","0","0","0.5334","0","0","0","1.7952","0","1.7952","27.5621",
"CRMS0331","2016","0","0.384","3.26","0","0","0.9327","0.8351","0","0","0.9534","2.7248","0","3.6782","49.4104",
"CRMS0332","2016","0","0","3.18","0","0","0","1.0302","0","0","0","3.3088","0","3.3088","73.1142",
"CRMS0335","2016","0","0","2.4","0","0","0","0.7803","0","0","0","1.8842","0","1.8842","31.9617",
"CRMS0336","2016","0","0","2.72","0","0","0","0.6888","0","0","0","1.883","0","1.883","31.3692",
"CRMS0337","2016","0","0","2.82","0","0","0","0.829","0","0","0","2.3438","0","2.3438","47.7661",
"CRMS0338","2016","0","0","2.24","0","0","0","0.8321","0","0","0","1.8866","0","1.8866","34.4608",
"CRMS0341","2016","0","0","1.96","0","0","0","0.8016","0","0","0","1.5916","0","1.5916","25.8763",
"CRMS0345","2016","0","0","1.96","0","0","0","0.7604","0","0","0","1.5422","0","1.5422","26.6653",
"CRMS0347","2016","0","0","2.52","0","0","0","0.858","0","0","0","2.1621","0","2.1621","40.7264",
"CRMS0354","2016","0","0","2.46","0","0","0","0.858","0","0","0","2.167","0","2.167","32.6256",
"CRMS0355","2016","0","0.808","1.06","0","0","0.6187","0.3962","0","0","1.371","0.5669","0","1.9379","37.1908",
"CRMS0365","2016","0","0.016","3.24","0.04","0","0.6706","0.95","0.0061","0","0.0561","3.1293","0.0012","3.1866","44.7831",
"CRMS0367","2016","0","0.44","3.04","0","0","0.9144","1.2954","0","0","1.0424","3.9678","0","5.0102","62.1752",
"CRMS0369","2016","0","0","2.64","0","0","0","0.9022","0","0","0","2.3325","0","2.3325","46.4227",
"CRMS0371","2016","0","0","2.96","0","0","0","0.9265","0","0","0","2.7425","0","2.7425","39.6853",
"CRMS0374","2016","0","0","2.7","0","0","0","0.7467","0","0","0","2.0067","0","2.0067","35.1442",
"CRMS0376","2016","0","0","1.412","0","0","0","0.6797","0","0","0","1.2073","0","1.2073","18.089",
"CRMS0377","2016","0","0","3.04","0","0","0","0.6031","0","0","0","1.8422","0","1.8422","30.7899",
"CRMS0381","2016","0","0.088","3.26","0","0","0.6401","0.9235","0","0","0.1177","3.0266","0","3.1443","45.1387",
"CRMS0382","2016","0","0.364","2.86","0","0","0.8016","0.9509","0","0","0.5931","2.7602","0","3.3533","48.2021",
"CRMS0383","2016","0","0","2.4","0","0","0","0.6461","0","0","0","1.9466","0","1.9466","40.3611",
"CRMS0385","2016","0","0.02","3.06","0.08","0","0.1981","1.3624","0.0024","0","0.0201","4.1001","0.0019","4.1222","69.8308",
"CRMS0386","2016","0","0.26","3.26","0","0","0.1615","0.7924","0","0","0.42","2.5163","0","2.9363","60.0382",
"CRMS0387","2016","0","0","2.72","0","0","0","0.89","0","0","0","2.4231","0","2.4231","50.3323",
"CRMS0390","2016","0","0","0.916","0","0","0","0.5242","0","0","0","0.749","0","0.749","11.6327",
"CRMS0392","2016","0","0","0.236","0.04","0","0","0.2926","0.0027","0","0","0.1346","0.0011","0.1357","3.8757",
"CRMS0394","2016","0","0","3.34","0","0","0","0.9296","0","0","0","3.0998","0","3.0998","50.6534",
"CRMS0395","2016","0","0","3.42","0","0","0","1.8318","0","0","0","6.7379","0","6.7379","67.3463",
"CRMS0396","2016","0","0","2.916","0","0","0","0.7559","0","0","0","2.2579","0","2.2579","43.6286",
