Station_id,year,min_date,max_date,avg_salinity (ppt),std_deviation_salinity (ppt),min_salinity (ppt),max_salinity (ppt),avg_adj_water_elev_datum(ft),std_deviation_adj_water_elev_datum(ft),min_adj_water_elev_datum(ft),max_adj_water_elev_datum(ft),avg_adj_water_elev_to_marsh(ft),std_deviation_adj_water_elev_to_marsh (ft),min_adj_water_elev_to_marsh(ft),max_adj_water_elev_to_marsh(ft),avg_water_temperature (C DegC),std_deviation_water_temperature (C DegC),min_temperature (C DegC),max_temperature (C DegC),percent_salinity_complete,percent_water_level_complete,GEOID
BA01-01,2012,1/1/2012 12:00:00 AM,12/31/2012 11:00:00 PM,0.351875214,0.320389057,0.07,5.32,1.122574877,0.508312977,-0.41,4.19,0.392573738,0.508314696,-1.14,3.46,22.96222247,5.598977564,10.05,33.27,100,100,GEOID99   
BA01-02,2012,1/1/2012 12:00:00 AM,12/31/2012 11:00:00 PM,0.537964723,0.450025623,0.1,5.6,1.087805323,0.528282649,-0.93,4.73,0.297805323,0.528282649,-1.72,3.94,22.97972312,5.786728104,3.89,33.9,99.66895,99.9201,GEOID99   
BA01-03,2012,1/1/2012 12:00:00 AM,12/31/2012 11:00:00 PM,0.451012183,0.370945769,0.15,2.58,0.964524649,0.52240154,-0.89,4.44,-0.26547535,0.52240154,-2.12,3.21,22.95996244,6.136061274,6.14,33.18,100,100,GEOID99   
BA01-04,2012,1/1/2012 12:00:00 AM,12/31/2012 11:00:00 PM,0.366765118,0.103500742,0.11,0.95,1.159528138,0.519967778,-0.36,4.29,,,,,22.85476994,5.849103737,7.99,32.41,73.43607,99.1895,GEOID99   
BA01-10,2012,1/1/2012 12:00:00 AM,12/31/2012 11:00:00 PM,1.900512295,2.014729061,0.24,19.18,1.175427563,0.463408826,-1.14,4.84,0.045426347,0.463409062,-2.27,3.71,23.58735883,5.860293459,9.71,33.69,100,93.84703,GEOID99   
BA01-14,2012,1/1/2012 12:00:00 AM,12/31/2012 11:00:00 PM,0.210870901,0.07436906,0.03,0.38,1.616443016,0.409800958,1.1,4.04,-0.128809198,0.239398022,-0.59,0.87,19.34877846,4.266582203,8.92,27.89,100,56.99771,GEOID99   
BA01-15,2012,1/1/2012 12:00:00 AM,12/31/2012 11:00:00 PM,0.705059774,0.109984339,0.22,0.9,1.159645406,0.519998794,-0.36,4.29,0.245277745,0.35862309,-0.58,2.01,20.78510532,2.651019062,15.93,24.48,100,99.15525,GEOID99   
BA01-16,2012,1/1/2012 12:00:00 AM,12/31/2012 11:00:00 PM,,,,,1.616443016,0.409800958,1.1,4.04,,,,,20.43348216,0.501500317,19.7,21.37,0,56.99771,GEOID99   
BA01-40,2012,1/1/2012 12:00:00 AM,3/30/2012 8:00:00 AM,,,,,1.270401117,1.051268514,0,2.89,,,,,12.73260261,3.843225614,6.3,24.3,0,24.47489,
BA01-41,2012,1/1/2012 12:00:00 AM,3/30/2012 10:00:00 AM,,,,,1.085487181,0.495412782,-0.29,3.02,,,,,14.8193007,2.725936184,7.9,21.4,0,24.4863,
BA01-42,2012,1/1/2012 12:00:00 AM,3/30/2012 7:00:00 AM,,,,,0.866944961,0.479028167,-0.47,2.81,,,,,17.41217351,4.14096974,7.9,26.5,0,24.47489,
BA02-56,2012,1/1/2012 12:00:00 AM,12/31/2012 11:00:00 PM,1.665609791,1.322831935,0.37,10.89,1.060043889,0.499323513,-0.36,2.44,-0.10007787,0.499396982,-1.52,1.28,22.80841823,5.35694616,9.05,33.4,80.68493,80.62785,GEOID99   
BA02-57,2012,1/1/2012 12:00:00 AM,12/31/2012 11:00:00 PM,2.392097034,1.39541884,0.37,8.09,1.215819823,0.523279877,-0.2,5.95,0.385635711,0.523513453,-1.03,5.12,23.61142197,5.537463635,10.06,33.02,98.58447,98.58447,GEOID99   
BA03C-61,2012,1/1/2012 12:00:00 AM,12/31/2012 11:00:00 PM,3.112496582,2.362923841,0.29,10.92,1.056024603,0.542894034,-0.72,6.29,0.826024604,0.542894034,-0.95,6.06,23.69526256,6.037195423,6.66,35.28,100,100,GEOID99   
BA04-07,2012,1/1/2012 12:00:00 AM,12/31/2012 11:00:00 PM,10.02557695,5.78612303,0.41,22.17,1.264639222,0.512647864,-0.66,6.48,0.364639222,0.512647863,-1.56,5.58,23.63907867,6.020092715,4.16,34.69,68.1621,99.82877,
BA04-10,2012,1/1/2012 12:00:00 AM,12/31/2012 11:00:00 PM,11.1889232,5.222482162,1.35,22.35,1.26380721,0.484467185,-0.56,2.81,-0.26619279,0.484467185,-2.09,1.28,21.27165517,5.474720014,4.31,32.87,72.83105,72.83105,
