Station_id,year,min_date,max_date,avg_salinity (ppt),std_deviation_salinity (ppt),min_salinity (ppt),max_salinity (ppt),avg_adj_water_elev_datum(ft),std_deviation_adj_water_elev_datum(ft),min_adj_water_elev_datum(ft),max_adj_water_elev_datum(ft),avg_adj_water_elev_to_marsh(ft),std_deviation_adj_water_elev_to_marsh (ft),min_adj_water_elev_to_marsh(ft),max_adj_water_elev_to_marsh(ft),avg_water_temperature (C DegC),std_deviation_water_temperature (C DegC),min_temperature (C DegC),max_temperature (C DegC),percent_salinity_complete,percent_water_level_complete,GEOID
BA0066-05P-RT,2018,1/1/2018 12:00:00 AM,12/31/2018 11:45:00 PM,,,,,,,,,,,,,,,,,0,0,
BA0066-06F-RT,2018,1/1/2018 12:00:00 AM,12/31/2018 11:45:00 PM,,,,,,,,,,,,,,,,,0,0,
BA0066-06P-RT,2018,1/1/2018 12:00:00 AM,12/31/2018 11:30:00 PM,,,,,,,,,,,,,,,,,0,0,
BA0066-07F-RT,2018,1/1/2018 12:00:00 AM,12/31/2018 11:45:00 PM,,,,,,,,,,,,,,,,,0,0,
BA0066-07P-RT,2018,1/1/2018 12:00:00 AM,12/31/2018 11:45:00 PM,,,,,,,,,,,,,,,,,0,0,
BA0066-08F-RT,2018,1/1/2018 12:00:00 AM,12/31/2018 11:45:00 PM,,,,,,,,,,,,,,,,,0,0,
BA0066-08P-RT,2018,1/1/2018 12:00:00 AM,12/31/2018 11:45:00 PM,,,,,,,,,,,,,,,,,0,0,
BA0066-10F-RT,2018,1/1/2018 12:00:00 AM,12/31/2018 11:45:00 PM,,,,,,,,,,,,,,,,,0,0,
BA0066-10P-RT,2018,1/1/2018 12:00:00 AM,12/31/2018 11:45:00 PM,,,,,,,,,,,,,,,,,0,0,
BA01-01,2018,1/1/2018 12:00:00 AM,12/31/2018 11:00:00 PM,0.149538813,0.053290126,0.06,0.38,1.223035387,0.580770831,-1.08,3.05,0.493060502,0.580749976,-1.805,2.323,22.95284132,7.21857294,2.95,33.65,100,100,GEOID99   
BA01-02,2018,1/1/2018 12:00:00 AM,12/31/2018 11:00:00 PM,0.248388888,0.100423903,0.11,1.18,1.091631163,0.562320128,-0.9,2.87,-0.14835367,0.562317631,-2.137,1.634,22.87535034,6.90774631,0.02,33.05,98.63013,98.60731,GEOID99   
BA01-03,2018,1/1/2018 12:00:00 AM,12/31/2018 11:00:00 PM,0.217779176,0.049514167,0.1,0.76,1.033051836,0.584502447,-1.22,2.86,-0.196919327,0.584517366,-2.447,1.635,22.78346488,7.53798039,0,34.6,99.77169,99.76028,GEOID99   
BA01-04,2018,1/1/2018 12:00:00 AM,12/31/2018 11:00:00 PM,0.204724728,0.03763158,0.09,0.38,1.168488317,0.576213939,-0.89,2.9,,,,,22.97931432,7.23794798,0.01,35.81,98.69863,98.69863,GEOID99   
BA01-10,2018,1/1/2018 12:00:00 AM,12/31/2018 11:00:00 PM,1.311242399,1.187607322,0.18,11.3,1.330287535,0.580927831,-1.12,3.44,0.200307182,0.580934553,-2.255,2.31,23.58367711,7.264809559,3.74,33.72,95.74201,87.73972,GEOID99   
BA01-14,2018,1/1/2018 12:00:00 AM,12/31/2018 11:00:00 PM,0.241792238,0.051307221,0.13,0.33,1.757279324,0.249343158,1.27,2.81,0.186339447,0.184556716,-0.224,0.68,19.68093379,3.39740504,13.52,25.87,100,89.62329,GEOID99   
