Station_id,year,min_date,max_date,avg_salinity (ppt),std_deviation_salinity (ppt),min_salinity (ppt),max_salinity (ppt),avg_adj_water_elev_datum(ft),std_deviation_adj_water_elev_datum(ft),min_adj_water_elev_datum(ft),max_adj_water_elev_datum(ft),avg_adj_water_elev_to_marsh(ft),std_deviation_adj_water_elev_to_marsh (ft),min_adj_water_elev_to_marsh(ft),max_adj_water_elev_to_marsh(ft),avg_water_temperature (C DegC),std_deviation_water_temperature (C DegC),min_temperature (C DegC),max_temperature (C DegC),percent_salinity_complete,percent_water_level_complete,GEOID
BA01-01,2016,1/1/2016 12:00:00 AM,12/31/2016 11:00:00 PM,0.142909836,0.124515238,0.04,1.33,1.386728141,0.47873583,-0.26,2.86,0.656729281,0.478708361,-0.986,2.13,22.87703211,6.295368979,9.09,33.66,100,100,GEOID99   
BA01-02,2016,1/1/2016 12:00:00 AM,12/31/2016 11:00:00 PM,0.311527778,0.101236968,0.13,0.84,1.322727687,0.504590726,-0.33,2.73,0.082742145,0.50463782,-1.573,1.494,22.68130692,6.373181259,6.81,32.37,100,100,GEOID99   
BA01-03,2016,1/1/2016 12:00:00 AM,12/31/2016 11:00:00 PM,0.252147086,0.107366129,0.1,1.06,1.269336292,0.491760533,-0.34,2.72,0.039292008,0.491725046,-1.57,1.49,23.09241121,6.682387257,7.79,35.09,100,100,GEOID99   
BA01-04,2016,1/1/2016 12:00:00 AM,12/31/2016 11:00:00 PM,0.216192766,0.085347715,0.1,0.71,1.365660291,0.473166779,-0.23,2.72,,,,,22.73137295,6.225287823,7.63,32.09,99.72603,100,GEOID99   
BA01-10,2016,1/1/2016 12:00:00 AM,12/31/2016 11:00:00 PM,0.937274191,1.068050005,0.14,14.89,1.591800271,0.482519711,-0.11,3.09,0.461812538,0.48255861,-1.244,1.962,24.39552032,6.037773237,9.26,34.4,92.1347,92.1347,GEOID99   
BA01-14,2016,1/1/2016 12:00:00 AM,12/31/2016 11:00:00 PM,0.1559581,0.032735513,0.03,0.23,1.847629023,0.334033162,1.23,2.94,0.067631915,0.22020915,-0.455,0.582,20.33568372,3.943326627,10.28,25.57,100,89.36073,GEOID99   
BA01-15,2016,1/1/2016 12:00:00 AM,12/31/2016 11:00:00 PM,0.350889217,0.149693512,0.12,0.65,1.36570485,0.47317099,-0.23,2.72,0.146971536,0.369348397,-0.588,1.578,21.25168508,2.813054126,17.27,26.47,100,100,GEOID99   
BA01-16,2016,1/1/2016 12:00:00 AM,12/31/2016 11:00:00 PM,,,,,1.847629023,0.334033162,1.23,2.94,,,,,22.91654952,0.083564338,22.71,23.08,0,89.36073,GEOID99   
BA02-56,2016,1/1/2016 12:00:00 AM,12/31/2016 11:00:00 PM,0.726387089,0.629573249,0.14,6.94,1.137944617,0.456480863,-0.32,2.41,-0.022064419,0.456486736,-1.483,1.248,22.98243485,6.217752183,5.7,32.86,98.6758,98.5274,GEOID99   
BA02-57,2016,1/1/2016 12:00:00 AM,12/31/2016 11:00:00 PM,1.162269079,0.756845987,0.23,5.88,1.53787646,0.49415116,-0.2,3.16,0.707866032,0.494120425,-1.033,2.33,22.9699485,6.299547884,7.69,33.83,99.61187,99.61187,GEOID99   
