Station_id,year,min_date,max_date,avg_salinity (ppt),std_deviation_salinity (ppt),min_salinity (ppt),max_salinity (ppt),avg_adj_water_elev_datum(ft),std_deviation_adj_water_elev_datum(ft),min_adj_water_elev_datum(ft),max_adj_water_elev_datum(ft),avg_adj_water_elev_to_marsh(ft),std_deviation_adj_water_elev_to_marsh (ft),min_adj_water_elev_to_marsh(ft),max_adj_water_elev_to_marsh(ft),avg_water_temperature (C DegC),std_deviation_water_temperature (C DegC),min_temperature (C DegC),max_temperature (C DegC),percent_salinity_complete,percent_water_level_complete,GEOID
BA0066-05P-RT,2019,1/1/2019 12:00:00 AM,12/31/2019 11:45:00 PM,,,,,,,,,,,,,,,,,0,0,
BA0066-06F-RT,2019,1/1/2019 12:00:00 AM,12/31/2019 11:45:00 PM,,,,,,,,,,,,,,,,,0,0,
BA0066-06P-RT,2019,1/1/2019 12:00:00 AM,12/31/2019 11:30:00 PM,,,,,,,,,,,,,,,,,0,0,
BA0066-07F-RT,2019,1/1/2019 12:00:00 AM,12/31/2019 11:45:00 PM,,,,,,,,,,,,,,,,,0,0,
BA0066-07P-RT,2019,1/1/2019 12:00:00 AM,12/31/2019 11:45:00 PM,,,,,,,,,,,,,,,,,0,0,
BA0066-08F-RT,2019,1/1/2019 12:00:00 AM,11/11/2019 3:45:00 PM,,,,,,,,,,,,,,,,,0,0,
BA0066-08P-RT,2019,1/1/2019 12:00:00 AM,12/31/2019 11:45:00 PM,,,,,,,,,,,,,,,,,0,0,
BA0066-10F-RT,2019,1/1/2019 12:00:00 AM,12/31/2019 11:45:00 PM,,,,,,,,,,,,,,,,,0,0,
BA0066-10P-RT,2019,1/1/2019 12:00:00 AM,12/31/2019 11:45:00 PM,,,,,,,,,,,,,,,,,0,0,
BA01-01,2019,1/1/2019 12:00:00 AM,11/19/2019 12:00:00 PM,0.184511047,0.238065383,0.07,2,1.4402209,0.473702759,0.03,3.3,0.709989148,0.473644148,-0.701,2.571,23.59855057,6.390077054,9.4,33.5,88.36758,88.36758,GEOID99   
BA01-02,2019,1/1/2019 12:00:00 AM,11/19/2019 11:00:00 AM,0.23615927,0.12102364,0.1,1.2,1.35255943,0.531517392,-0.24,3.77,0.112294057,0.531377257,-1.484,2.532,23.67592388,6.539988396,8.62,39.9,80.99315,88.35617,GEOID99   
BA01-03,2019,1/1/2019 12:00:00 AM,11/19/2019 11:00:00 AM,0.212885666,0.119712093,0.1,1.1,1.38219752,0.562333176,-0.22,3.64,0.14656337,0.561679776,-1.455,2.407,22.3617816,6.579955075,8,33.6,75.47945,75.47945,GEOID99   
BA01-04,2019,1/1/2019 12:00:00 AM,11/19/2019 10:00:00 AM,0.194625777,0.08602792,0.1,0.8,1.382326929,0.499712147,-0.11,3.25,,,,,23.85603545,6.113387951,8.69,32.8,81.14156,74.86301,GEOID99   
BA01-10,2019,1/1/2019 12:00:00 AM,12/3/2019 12:00:00 PM,1.117464638,1.437053435,0.1,14,1.661131252,0.528072216,-0.08,4.8,0.530794547,0.527982469,-1.207,3.674,23.84046615,6.529820488,9.7,34.3,83.92694,81.23287,GEOID99   
BA01-14,2019,1/1/2019 12:00:00 AM,12/23/2019 11:00:00 AM,0.232777652,0.09107822,0.1,0.4,1.873332163,0.28389345,1.36,3.26,0.247669628,0.205907973,-0.127,0.945,20.15822187,3.60565117,13.99,25.3,97.6484,97.63699,GEOID99   
BA01-15,2019,1/1/2019 12:00:00 AM,11/19/2019 11:00:00 AM,0.267251591,0.045185131,0.2,0.3,1.38259762,0.49953395,-0.11,3.25,0.182491724,0.311361087,-0.49,1.143,21.33189562,3.325381488,17.2,27.4,88.34475,74.84018,GEOID99   
BA01-16,2019,1/1/2019 12:00:00 AM,12/23/2019 11:00:00 AM,,,,,1.87330645,0.28385782,1.36,3.26,,,,,22.31849369,0.472259856,21.2,22.8,0,97.67123,GEOID99   
BA03C-61,2019,1/1/2019 12:00:00 AM,11/11/2019 10:00:00 AM,1.241184941,1.231702921,0.2,8.5,1.003592289,0.436009305,0.29,4.64,0.253550039,0.435953828,-0.457,3.886,25.97796135,5.683992188,8.4,35.9,57.89954,58.63014,GEOID12A  
