"Station_id","year","min_date","max_date","avg_salinity (ppt)","std_deviation_salinity (ppt)","min_salinity (ppt)","max_salinity (ppt)","avg_adj_water_elev_datum(ft)","std_deviation_adj_water_elev_datum(ft)","min_adj_water_elev_datum(ft)","max_adj_water_elev_datum(ft)","avg_adj_water_elev_to_marsh(ft)","std_deviation_adj_water_elev_to_marsh (ft)","min_adj_water_elev_to_marsh(ft)","max_adj_water_elev_to_marsh(ft)","avg_water_temperature (C DegC)","std_deviation_water_temperature (C DegC)","min_temperature (C DegC)","max_temperature (C DegC)","percent_salinity_complete","percent_water_level_complete","GEOID",
"BA01-01","2009","1/1/2009 12:00:00 AM","12/31/2009 11:00:00 PM","0.289583875671846","0.145260073482305","0.03","1.16","1.15116548446617","0.51210721642983","-0.49","2.89","0.421070921957387","0.512251334964326","-1.22","2.16","22.7635520069312","6.79172767568189","8.79","34.39","96.56393","96.57534","GEOID99   ",
"BA01-02","2009","1/1/2009 12:00:00 AM","12/31/2009 11:00:00 PM","0.266963116221937","0.157514390600347","0.11","1.66","1.05624534832292","0.553289948323422","-0.61","2.69","0.266020885848565","0.553501913721287","-1.4","1.9","22.3389015254735","6.85525593707248","6.09","34.37","99.34931","95.10274","GEOID99   ",
"BA01-03","2009","1/1/2009 12:00:00 AM","12/31/2009 11:00:00 PM","0.202777397607083","0.0703038647468433","0.1","1.54","1.13335159736681","0.548193370341884","-0.54","2.72","-0.0966484018773708","0.54819337013804","-1.77","1.49","22.2717066214509","6.80540212089453","7.2","33.96","100","100","GEOID99   ",
"BA01-04","2009","1/1/2009 12:00:00 AM","12/31/2009 11:00:00 PM","0.333044600625533","0.149870491687917","0.14","0.93","1.10893886114178","0.582368579747173","-0.6","2.73","","","","","22.7181852872431","6.7030812635656","8.2","33.08","92.91096","48.73288","GEOID99   ",
"BA01-07","2009","1/1/2009 12:00:00 AM","12/31/2009 11:00:00 PM","0.754529420120706","0.957046377833057","0.09","8.48","1.23349325765545","0.456050970990322","-0.69","2.97","-0.416506741205376","0.456050971743656","-2.34","1.32","21.6022881065346","7.06730066402249","7.51","34.76","73.13927","65.19406","GEOID99   ",
"BA01-09","2009","1/1/2009 12:00:00 AM","6/16/2009 9:00:00 AM","0.324347038114806","0.219357863590728","0.14","1.26","","","","","","","","","25.5285671013875","3.25558184527589","15.67","31.96","18.88128","0","GEOID99   ",
"BA01-10","2009","1/1/2009 12:00:00 AM","12/31/2009 11:00:00 PM","0.680102750629217","0.641827315757038","0.12","6.12","1.22951473535831","0.565689843775348","-0.67","2.94","0.0991869915903326","0.565945846228563","-1.8","1.81","23.0478993064261","6.61963136170198","9.34","34.57","99.98859","89.86301","GEOID99   ",
"BA01-14","2009","1/1/2009 12:00:00 AM","12/31/2009 11:00:00 PM","0.329347024801697","0.107816537414466","0.07","0.47","1.71084133999531","0.340838773375278","1.17","2.91","0.40240916223969","0.279991891023317","-0.08","1.21","19.7126843014035","4.08961749710026","7.23","24.78","86.71233","86.70091","GEOID99   ",
"BA01-15","2009","1/1/2009 12:00:00 AM","12/31/2009 11:00:00 PM","1.02751341121887","0.331075709957182","0.21","1.39","1.07425252026967","0.60751268629957","-0.6","2.73","0.581178220970972","0.49274412812893","-0.38","2.01","20.7036804157849","2.76700043932853","12.76","24.37","99.98859","40.77626","GEOID99   ",
"BA01-16","2009","1/1/2009 12:00:00 AM","12/31/2009 11:00:00 PM","","","","","1.71513757029003","0.337742255769623","1.17","3.1","","","","","","","","","0","99.98859","GEOID99   ",
"BA01-40","2009","1/1/2009 12:00:00 AM","10/27/2009 8:00:00 AM","","","","","2.68866676208986","0.738864905050042","1.09","4.13","","","","","20.2450706148464","8.04475476582383","5.1","34.3","0","79.20091","",
"BA01-41","2009","1/1/2009 12:00:00 AM","11/25/2009 10:00:00 AM","","","","","1.88980637662406","0.677130311523487","0.07","3.21","","","","","20.9640479169528","7.00939673997838","7.4","30.6","0","81.95206","",
"BA01-42","2009","1/1/2009 12:00:00 AM","12/31/2009 11:00:00 PM","","","","","1.68847018054458","0.738970628718432","-0.16","3.17","","","","","22.1440363045008","5.83574215071227","6.8","30.2","0","79.24657","",
