EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5502770,ST. TAMMANY PAR.,MANDEVILLE,04/29/2006,2200,Flash Flood, , ,0,0,0,0,LA,CST, ,1209293,C,103,LIX,0,0,NEWSPAPER, , , , , , , ,MANDEVILLE,30.37,-90.08,30.37,-90.08,Rainfall amounts of up to 6 inches resulted in the flooding of about 10 homes and caused considerable street flooding in portions of Mandeville.,,1
5531601,ST. BERNARD PAR.,CHALMETTE,08/24/2006,1230,Heavy Rain, , ,0,0,0,0,LA,CST, ,1220613,C,87,LIX,0,0,EMERGENCY MANAGER, , , , , , , ,CHALMETTE, , , , ,Heavy rainfall of 2 to 4 inches caused extensive street flooding in St. Bernard Parish.,,2
2080,LOWER JEFFERSON (ZONE), ,10/16/2006,300,Coastal Flood, , ,0,0,0,0,LA,CST-6, ,521,Z,68,LIX,0,0,County Official, , , , , , , , , , , , ,Tidal flooding inundated numerous roadways including Louisiana Highway 1.,Persistent strong southeast winds caused high tides across the southeast Louisiana coast resulting in coastal flooding.,3
2083,ST. TAMMANY (ZONE), ,10/16/2006,1200,Coastal Flood, , ,0,0,0,0,LA,CST-6, ,521,Z,40,LIX,0,0,NWS Employee, , , , , , , , , , , , ,High tides overtopped the floodwall in Mandevill with some flooding roadways and property. Other tidal flooding was reported in Slidell area near bayous along Lake Pontchartrain.,Persistent strong southeast winds caused high tides across the southeast Louisiana coast resulting in coastal flooding.,4
9342,ORLEANS PAR.,NEW ORLEANS,12/21/2006,830,Flash Flood, , ,0,0,0,0,LA,CST-6, ,1902,C,71,LIX,0,0,Newspaper,Heavy Rain, , ,0,N,0,N,NEW ORLEANS,29.95,-90.1,29.95,-90.1,Heavy rainfall of 3 to 6 inches caused the flooding of three school and a few homes in the Carrollton and Broadmoor areas. Numerous roadways and a few vehicles were flooded.,Isolated severe thunderstorms and heavy rain occurred in advance of a cold front that moved across southeast Louisiana.,5
9341,JEFFERSON PAR.,BRIDGE CITY,12/21/2006,830,Flash Flood, , ,0,0,0,0,LA,CST-6, ,1902,C,51,LIX,0,0,Emergency Manager,Heavy Rain, , ,0,N,0,N,METAIRIE,29.97,-90.22,29.98,-90.15,Heavy rainfall of 3 to 6 inches caused the flooding of three homes and a few businesses in Metairie and one home in Bridge City. Numerous roadways and a few vehicles were flooded.,Isolated severe thunderstorms and heavy rain occurred in advance of a cold front that moved across southeast Louisiana.,6
9345,PLAQUEMINES PAR.,BELLE CHASSE,12/21/2006,1000,Heavy Rain, , ,0,0,0,0,LA,CST-6, ,1902,C,75,LIX,0,0,Law Enforcement, , , ,0,N,0,N,BELLE CHASSE,29.87,-89.98,29.87,-89.98,Heavy rainfall cuased the flooding of numerous roadways around Belle Chasse and other locations across northern areas of the parish.,Isolated severe thunderstorms and heavy rain occurred in advance of a cold front that moved across southeast Louisiana.,7
37241,ORLEANS PAR.,NEW ORLEANS,05-04-2007,1200,Heavy Rain, , ,0,0,0,0,LA,CST-6, ,6420,C,71,LIX,0,0,NWS Employee, , , ,0,N,0,N,NEW ORLEANS,29.95,-90.1,29.95,-90.1,,Thunderstorms producing heavy rainfall developed during the day across sections of southeast Louisiana as a strong upper level trough moved across the lower Mississippi Valley while strong low level convergence and abundant moisture prevailed across south Louisiana. Widespread rainfall amounts of 3 to 4 inches fell on already saturated ground  across Orleans and areas of Jefferson and St. Bernard Parishes. The heavy rainfall lead to the closing of several roadways across the area. A few vehicles were flooded by the high water on roadways.,8
37242,JEFFERSON PAR.,KENNER,05-04-2007,1200,Heavy Rain, , ,0,0,0,0,LA,CST-6, ,6420,C,51,LIX,0,0,NWS Employee, , , ,0,N,0,N,KENNER,29.98,-90.23,29.98,-90.23,,Thunderstorms producing heavy rainfall developed during the day across sections of southeast Louisiana as a strong upper level trough moved across the lower Mississippi Valley while strong low level convergence and abundant moisture prevailed across south Louisiana. Widespread rainfall amounts of 3 to 4 inches fell on already saturated ground  across Orleans and areas of Jefferson and St. Bernard Parishes. The heavy rainfall lead to the closing of several roadways across the area. A few vehicles were flooded by the high water on roadways.,9
37243,ST. BERNARD PAR.,CHALMETTE,05-04-2007,1200,Heavy Rain, , ,0,0,0,0,LA,CST-6, ,6420,C,87,LIX,0,0,NWS Employee, , , ,0,N,0,N,CHALMETTE,29.93,-89.97,29.93,-89.97,,Thunderstorms producing heavy rainfall developed during the day across sections of southeast Louisiana as a strong upper level trough moved across the lower Mississippi Valley while strong low level convergence and abundant moisture prevailed across south Louisiana. Widespread rainfall amounts of 3 to 4 inches fell on already saturated ground  across Orleans and areas of Jefferson and St. Bernard Parishes. The heavy rainfall lead to the closing of several roadways across the area. A few vehicles were flooded by the high water on roadways.,10
