"Site_id","Longitude","Latitude","year","min_date","max_date","avg_salinity..ppt.","std_deviation_salinity..ppt.","min_salinity..ppt.","max_salinity..ppt.","avg_adj_water_elev_datum.ft.","std_deviation_adj_water_elev_datum.ft.","min_adj_water_elev_datum.ft.","max_adj_water_elev_datum.ft.","avg_adj_water_elev_to_marsh.ft.","std_deviation_adj_water_elev_to_marsh..ft.","min_adj_water_elev_to_marsh.ft.","max_adj_water_elev_to_marsh.ft.","avg_water_temperature..C.DegC.","std_deviation_water_temperature..C.DegC.","min_temperature..C.DegC.","max_temperature..C.DegC.","percent_salinity_complete","percent_water_level_complete","GEOID"
"BA01-01",-90.35878,29.70149,2006,"1/1/2006 12:00:00 AM","12/31/2006 11:00:00 PM",1.34281174187837,0.491720732735188,0.2,3.15,0.776827995083125,0.432646405567008,-0.66,2.38,0.0465198930968385,0.432897447942717,-1.39,1.65,23.6266363392404,6.63871724839178,7.14,34.73,94.10959,94.10959,"GEOID99   "
"BA01-02",-90.16958,29.81676,2006,"1/1/2006 12:00:00 AM","12/31/2006 11:00:00 PM",0.876817729598975,0.866918773234695,0.07,6.2,0.652588361521519,0.473626813706434,-1.07,2.38,-0.13752855817846,0.473635568369215,-1.86,1.59,24.2549375089454,6.35569787284472,4.11,35.02,80.60503,84.94292,"GEOID99   "
"BA01-03",-90.23552,29.79642,2006,"1/1/2006 12:00:00 AM","12/31/2006 11:00:00 PM",1.0219331181536,0.865132657193309,0.13,5.34,0.592872927505516,0.479590528494069,-1.03,2.38,-0.197643117196407,0.479616666664091,-1.82,1.59,22.828458553053,6.7213843836646,5.6,33.13,99.68037,97.11188,"GEOID99   "
"BA01-04",-90.29158,29.77097,2006,"1/1/2006 12:58:00 AM","12/31/2006 11:00:00 PM",1.29848903628273,0.423483192183399,0.21,2.98,0.755035403180551,0.45165963176308,-0.72,2.24,NA,NA,NA,NA,23.2571265445882,6.71945467977878,5.68,34.05,99.95434,99.95434,"GEOID99   "
"BA01-07",-90.16132,29.57338,2006,"1/1/2006 12:08:00 AM","12/31/2006 11:00:00 PM",4.75991746997919,2.94998648229937,0.7,23.61,NA,NA,NA,NA,NA,NA,NA,NA,22.4284323392743,6.25330839122443,6.16,33.27,76.07306,0,"GEOID99   "
"BA01-09",-90.34092,29.63101,2006,"1/1/2006 12:00:00 AM","12/31/2006 11:00:00 PM",1.50941119842434,1.30174634822353,0.24,12.69,0.784742214467382,0.415622702002089,-0.77,2.36,-0.245968606064145,0.415787109925669,-1.8,1.33,24.0226892614216,6.40721433056814,7.61,34.07,95,89.45205,"GEOID99   "
"BA01-10",-90.11031,29.66741,2006,"1/1/2006 12:00:00 AM","12/31/2006 11:00:00 PM",3.3449516525643,1.53627245598015,0.82,12.4,0.774549849290698,0.441386754648545,-0.79,2.48,-0.356117038511823,0.441507464932751,-1.92,1.35,24.4622607553908,6.46998377878003,9.1,34.25,68.47031,68.47031,"GEOID99   "
"BA01-14",-90.31675,29.85221,2006,"1/1/2006 12:00:00 AM","12/31/2006 11:00:00 PM",0.39827054715524,0.0896801399561751,0.17,0.56,1.19261466352397,0.3108797842394,0.44,2.07,-0.0314075342596394,0.300942679344916,-0.66,0.73,19.3218230461965,3.06221790885518,11.88,24.36,100,99.80593,"GEOID99   "
"BA01-15",-90.29135,29.77083,2006,"1/1/2006 12:00:00 AM","12/31/2006 11:00:00 PM",1.3527146158085,0.18484956974839,0.85,1.77,0.755003996598276,0.451732489728958,-0.72,2.24,0.14898515960444,0.330478083527603,-0.52,1.55,21.3729897017893,2.50870083035356,17.27,25.47,100,99.94292,"GEOID99   "
"BA01-16",-90.31673,29.85266,2006,"1/1/2006 12:00:00 AM","12/31/2006 11:00:00 PM",NA,NA,NA,NA,1.19261466352397,0.3108797842394,0.44,2.07,NA,NA,NA,NA,NA,NA,NA,NA,0,99.80593,"GEOID99   "
"BA02-104",-90.22705,29.54908,2006,"1/1/2006 12:00:00 AM","1/24/2006 11:00:00 AM",7.79498228113702,0.283771546820725,7.34,8.1,1.03882980663726,0.0408007887192479,0.99,1.1,NA,NA,NA,NA,13.9885992851663,0.939846536381439,11.48,15.39,6.438356,6.438356,"GEOID99   "
"BA02-105",-90.22704,29.54907,2006,"1/1/2006 12:00:00 AM","1/24/2006 11:00:00 AM",5.10092198848724,0.127518488670037,4.76,5.33,0.396028368687587,0.169222983988857,0.15,0.81,NA,NA,NA,NA,15.5019148917908,0.223817696092229,14.99,15.95,6.438356,6.438356,"GEOID99   "
"BA02-108",-90.22745,29.55271,2006,"1/1/2006 12:00:00 AM","1/24/2006 10:00:00 AM",6.11868560547092,0.0794445119587526,5.95,6.26,0.933996444908806,0.0226888207982838,0.9,0.98,NA,NA,NA,NA,15.2877442341291,0.430353352393382,14.25,16.11,6.426941,6.426941,"GEOID99   "
