"Site_id","year","min_date","max_date","avg_salinity..ppt.","std_deviation_salinity..ppt.","min_salinity..ppt.","max_salinity..ppt.","avg_adj_water_elev_datum.ft.","std_deviation_adj_water_elev_datum.ft.","min_adj_water_elev_datum.ft.","max_adj_water_elev_datum.ft.","avg_adj_water_elev_to_marsh.ft.","std_deviation_adj_water_elev_to_marsh..ft.","min_adj_water_elev_to_marsh.ft.","max_adj_water_elev_to_marsh.ft.","avg_water_temperature..C.DegC.","std_deviation_water_temperature..C.DegC.","min_temperature..C.DegC.","max_temperature..C.DegC.","percent_salinity_complete","percent_water_level_complete","GEOID"
"CRMS0002_2011",2011,"1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM",5.38682433983707,2.85781112786644,0.42,23.66,0.752784853689191,0.594735514905791,-0.54,4.5,0.310728346068592,0.594772918773167,-0.98,4.05,22.292470057676,7.60914611429482,0.9,39.46,97.73972,98.58447,"GEOID99   "
"CRMS0003_2011",2011,"1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM",19.8622648427476,6.70600652737268,1.91,33.2,0.698047945137055,0.71646160395291,-1.66,4.46,-0.663945205172005,0.716434277667856,-3.02,3.1,22.3233025107958,7.20351139529597,0.83,36.5,100,100,"GEOID99   "
"CRMS0006_2011",2011,"1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM",4.59082061352637,2.00683980231186,0.64,15.94,0.957465752775538,0.51852962339702,0.35,5,-0.217543378706009,0.518458984174132,-0.82,3.83,22.3724299918203,7.85720917260847,0.66,38.53,99.46347,100,"GEOID99   "
"CRMS0008_2011",2011,"11/14/2011 3:00:00 PM","12/31/2011 11:00:00 PM",0.544969213905309,0.0918713104337239,0.29,0.71,1.0084520677578,0.475883978006469,-0.43,1.76,0.108452066625145,0.475883976049302,-1.33,0.86,13.9678891826955,3.7387481154557,5.14,21.83,12.97945,12.97945,"GEOID99   "
"CRMS0030_2011",2011,"1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM",2.46541145412422,0.893095672355087,0.23,4.82,0.951316467415298,0.602531432516865,-0.17,5.06,-0.178683531209259,0.602531433014968,-1.3,3.93,22.3232156665854,7.06369987797146,0.93,35.85,91.27854,92.95662,"GEOID99   "
"CRMS0033_2011",2011,"1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM",2.64469930084388,0.819218081983431,0.27,4.49,0.950815795393355,0.599906970863336,-0.07,4.93,0.0207200282926987,0.599945340211198,-1,4,23.2868013528748,7.5921840620981,0.19,39.83,94.90868,96.55251,"GEOID99   "
"CRMS0034_2011",2011,"1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM",2.38189205607912,0.727936806723291,0.54,4.45,0.948682198651291,0.636278783893554,-0.26,4.82,-0.0353755609311698,0.636235463993056,-1.24,3.84,22.7930289277495,7.36978382021351,1.44,38.1,92.85388,94.07534,"GEOID99   "
"CRMS0035_2011",2011,"1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM",0.531761245621581,1.30300600312454,0.01,21.32,0.570611705000798,0.74459250730753,-1.25,4.61,-0.683472461511009,0.744511852488103,-2.5,3.36,21.9792850577853,6.85073903956297,4.3,34.72,98.9726,99.28082,"GEOID99   "
"CRMS0038_2011",2011,"1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM",0.551692167417382,0.368795856007965,0.05,2.22,0.973165106113603,0.69562448161392,-0.61,4.56,0.213165105968334,0.69562447999071,-1.37,3.8,22.0838947297844,7.08849763287396,0.89,36.3,99.97717,99.97717,"GEOID99   "
"CRMS0039_2011",2011,"1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM",0.468292321919053,0.248970834879799,0.07,1.29,1.48044363186898,0.320555379914403,0.86,3.69,0.532443630801358,0.320523041704264,-0.09,2.74,19.5035933903661,6.36274449929422,3.12,30.11,92.78539,93.66438,"GEOID99   "
"CRMS0046_2011",2011,"1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM",0.251067220774662,0.256209729460109,0.02,1.44,0.767867460469546,0.722370485356497,-0.76,5.17,-0.442254069943995,0.72236910098541,-1.97,3.96,22.2564536296227,6.85440320575724,4.92,36.02,98.83562,99.56621,"GEOID99   "
"CRMS0047_2011",2011,"1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM",0.839290260398521,0.298779384406032,0.2,2.6,1.0039342239768,0.668543173369473,-0.61,4.49,0.112934225257733,0.66854317459911,-1.501,3.599,22.0637623460965,6.02372419088816,5.2,34.1,80.742,83.65297,"GEOID99   "
