"Site_id","Longitude","Latitude","veg_year","Marsh_Class","Basin"
"CRMS0033",-90.3855,30.27445,2006,"Intermediate","Pontchartrain"
"CRMS0034",-90.3855,30.30348,2006,"Intermediate","Pontchartrain"
"CRMS0118",-89.54172,29.37444,2006,"Intermediate","Breton Sound"
"CRMS0119",-89.63548,29.47605,2006,"Saline","Breton Sound"
"CRMS0129",-89.60422,29.46879,2006,"Saline","Breton Sound"
"CRMS0135",-89.76048,29.68654,2006,"Brackish","Breton Sound"
"CRMS0136",-89.79173,29.62122,2006,"Brackish","Breton Sound"
"CRMS0147",-89.60422,29.66476,2006,"Saline","Breton Sound"
"CRMS0148",-89.69798,29.51235,2006,"Brackish","Breton Sound"
"CRMS0153",-89.13546,29.11315,2006,"Intermediate","Mississippi River Delta"
"CRMS0154",-89.19796,29.11315,2006,"Intermediate","Mississippi River Delta"
"CRMS0162",-89.13546,29.16395,2006,"Intermediate","Mississippi River Delta"
"CRMS0164",-90.16994,29.19306,2006,"Saline","Barataria"
"CRMS0171",-89.79605,29.32377,2006,"Saline","Barataria"
"CRMS0172",-89.73433,29.31653,2006,"Saline","Barataria"
"CRMS0173",-89.72993,29.4543,2006,"Saline","Barataria"
"CRMS0174",-89.76302,29.3963,2006,"Saline","Barataria"
"CRMS0175",-90.13792,29.2874,2006,"Saline","Barataria"
"CRMS0176",-89.79333,29.41078,2006,"Saline","Barataria"
"CRMS0178",-90.04698,29.28748,2006,"Saline","Barataria"
"CRMS0179",-89.69845,29.39623,2006,"Saline","Barataria"
"CRMS0181",-89.70033,29.33823,2006,"Saline","Barataria"
"CRMS0184",-90.07272,29.8026,2006,"Swamp","Barataria"
"CRMS0188",-90.13549,29.79541,2006,"Intermediate","Barataria"
"CRMS0190",-90.26049,29.52686,2006,"Intermediate","Barataria"
"CRMS0192",-90.54175,29.85348,2006,"Fresh","Barataria"
"CRMS0209",-89.79173,29.49057,2006,"Saline","Barataria"
"CRMS0211",-90.47925,29.7809,2006,"Fresh","Barataria"
"CRMS0219",-90.32299,29.80267,2006,"Fresh","Barataria"
"CRMS0220",-90.07299,29.56315,2006,"Brackish","Barataria"
"CRMS0224",-89.91673,29.49782,2006,"Saline","Barataria"
"CRMS0225",-90.01048,29.56315,2006,"Brackish","Barataria"
