"Site_id","Marsh_Class","Basin","Longitude","Latitude","veg_year","Percent_Cover_Tree.m...","Percent_Cover_Shrub.m...","Percent_Cover_Herb.m...","Percent_Cover_Carpet.m...","Avg_Height_Tree.m.","Avg_Height_Shrub.m.","Avg_Height_Herb.m.","Avg_Height_Carpet.m.","Volume_Tree.m...","Volume_Shrub.m...","Volume_Herb.m...","Volume_Carpet.m...","Volume_Vegetation.m...","VVI","min_date","max_date","avg_salinity..ppt.","std_deviation_salinity..ppt.","min_salinity..ppt.","max_salinity..ppt.","avg_adj_water_elev_datum.ft.","std_deviation_adj_water_elev_datum.ft.","min_adj_water_elev_datum.ft.","max_adj_water_elev_datum.ft.","avg_adj_water_elev_to_marsh.ft.","std_deviation_adj_water_elev_to_marsh..ft.","min_adj_water_elev_to_marsh.ft.","max_adj_water_elev_to_marsh.ft.","avg_water_temperature..C.DegC.","std_deviation_water_temperature..C.DegC.","min_temperature..C.DegC.","max_temperature..C.DegC.","percent_salinity_complete","percent_water_level_complete","GEOID"
"CRMS0002_2007","Brackish","Pontchartrain",-89.79173,30.10025,2007,0,0,3.26,0,0,0,0.902,0,0,0,2.9206,0,2.9206,64.6232,"9/29/2007 9:00:00 AM","12/31/2007 11:00:00 PM",9.73899018242489,1.6812115282404,5.78,17.25,0.907357141649949,0.6143996918391,-0.56,2.58,0.46735714230121,0.614399692798275,-1,2.14,18.8040898859527,5.0480400983828,6.9,29.48,25.54795,25.57078,"GEOID99   "
"CRMS0003_2007","Saline","Pontchartrain",-89.25275,30.09937,2007,0,0,2.916,0,0,0,0.5006,0,0,0,1.4798,0,1.4798,20.7348,"11/1/2007 12:00:00 PM","12/31/2007 11:00:00 PM",26.2891942036053,2.30967236751275,15.55,33.49,0.531005509192581,0.65754987188777,-1.25,2.85,-0.828994489385241,0.65754987155291,-2.61,1.49,16.8396763262998,3.03918110031871,9.46,23.7,16.57534,16.57534,"GEOID99   "
"CRMS0006_2007","Brackish","Pontchartrain",-89.97923,30.25993,2007,0,0,3.56,0,0,0,0.5884,0,0,0,2.0981,0,2.0981,38.6822,"9/28/2007 11:00:00 AM","12/31/2007 11:00:00 PM",6.86858951851429,0.957277731396888,4.21,10.99,0.928883361949284,0.599862165112838,-0.21,2.66,-0.246794755192504,0.600213053917651,-1.39,1.49,18.9347152048166,5.40911172282727,3.85,30.97,25.25114,25.25114,"GEOID99   "
"CRMS0030_2007","Intermediate","Pontchartrain",-90.32942,30.30482,2007,0,0.94,2.34,0,0,1.045,0.856,0,0,1.3586,2.0464,0,3.405,49.8781,"5/9/2007 1:00:00 PM","12/31/2007 11:00:00 PM",4.20490007665139,0.812753163043518,2.06,7.06,1.00465588401886,0.530078372932761,-0.03,2.68,-0.125344114739578,0.530078371869572,-1.16,1.55,24.2671324820738,6.40384663145077,5.53,37.42,63.9726,63.5274,"GEOID99   "
"CRMS0033_2007","Intermediate","Pontchartrain",-90.3855,30.27445,2007,0,0,3,0,0,0,0.79,0,0,0,2.3936,0,2.3936,35.2099,"5/10/2007 1:00:00 PM","12/31/2007 11:00:00 PM",4.10420521632716,0.619445597337052,2.43,6.33,1.05168865883083,0.491981088281009,0.07,2.63,0.121540656151215,0.492084715422575,-0.86,1.7,25.5561486757329,6.68462947277087,4.74,41.27,64.41781,64.01826,"GEOID99   "
"CRMS0034_2007","Fresh","Pontchartrain",-90.3855,30.30348,2007,0,0.024,3.12,0,0,0.11,0.7143,0,0,0.0264,2.2493,0,2.2757,33.4196,"5/9/2007 5:00:00 PM","12/31/2007 11:00:00 PM",3.54611160851762,0.919049218030815,1.35,7.05,1.02176945071832,0.529730654411007,-0.11,2.66,0.0374811761099251,0.530068539758364,-1.09,1.68,25.1463592791519,6.45819748251292,3.41,39.93,64.23516,63.6758,"GEOID99   "
"CRMS0108_2007","Saline","Pontchartrain",-89.41592,29.95506,2007,0,0,3.44,0,0,0,0.8003,0,0,0,2.7616,0,2.7616,60.0647,"11/1/2007 3:00:00 PM","12/31/2007 11:00:00 PM",15.9482705168528,1.54719383548241,13.07,17.98,0.413087479147172,0.680323910238581,-0.99,2.33,-0.546912522529656,0.680323911402303,-1.95,1.37,16.628938380986,3.98086352622439,9.05,24.36,6.666667,6.655251,"GEOID99   "
"CRMS0114_2007","Intermediate","Breton Sound",-89.91673,29.75912,2007,0,0.12,3.58,0,0,0.1829,0.9477,0,0,0.2195,3.3733,0,3.5928,52.7077,"10/29/2007 1:00:00 PM","12/31/2007 11:00:00 PM",NA,NA,NA,NA,0.926011826847919,0.181660273067695,0.68,1.64,-0.544520366619954,0.181878393405343,-0.79,0.17,NA,NA,NA,NA,0,17.37443,"GEOID99   "
"CRMS0115_2007","Intermediate","Breton Sound",-89.91673,29.78089,2007,0,0,2.88,0,0,0,0.8748,0,0,0,2.6316,0,2.6316,39.2699,"10/29/2007 1:00:00 PM","12/31/2007 11:00:00 PM",NA,NA,NA,NA,0.963302696173863,0.176382630758797,0.73,1.48,NA,NA,NA,NA,NA,NA,NA,NA,0,17.38585,"GEOID99   "
"CRMS0117_2007","Intermediate","Breton Sound",-89.91673,29.80992,2007,0.28,0,3.12,0,0.2743,0,1.0819,0,0.768,0,3.3889,0,4.157,52.6187,"10/29/2007 12:00:00 PM","12/31/2007 11:00:00 PM",NA,NA,NA,NA,1.2652790517065,0.216035166946493,0.95,1.78,-0.022396585641726,0.216361551204408,-0.34,0.49,NA,NA,NA,NA,0,17.38585,"GEOID99   "
"CRMS0118_2007","Intermediate","Breton Sound",-89.54172,29.37444,2007,0,0,3.02,0,0,0,0.8016,0,0,0,2.392,0,2.392,36.2224,"5/17/2007 1:00:00 PM","12/31/2007 11:00:00 PM",0.735722973080319,0.888571243034194,0.15,13.48,1.60104575122753,0.664857974776724,0.11,4.08,-0.216337690153413,0.665080673098822,-1.7,2.26,24.0440312153886,6.03343887913527,8.24,34.09,58.18493,52.39726,"GEOID99   "
"CRMS0119_2007","Saline","Breton Sound",-89.63548,29.47605,2007,0,0,3.46,0,0,0,0.8321,0,0,0,2.8773,0,2.8773,64.4736,"5/17/2007 3:00:00 PM","12/31/2007 11:00:00 PM",8.61817686720316,2.14533665080709,3.02,13,1.08235538890912,0.673560440833645,-0.11,3.81,-0.347644609620747,0.673560440362404,-1.54,2.38,25.4038919163457,5.80683823209992,5.2,35.78,52.40868,52.10046,"GEOID99   "
"CRMS0120_2007","Intermediate","Breton Sound",-89.85423,29.84622,2007,0.18,0.92,2.8,0,0.1829,0.7864,0.8929,0,0.3292,1.2436,2.5324,0,4.1053,57.4673,"10/29/2007 3:00:00 PM","12/31/2007 11:00:00 PM",NA,NA,NA,NA,1.12004601861363,0.160557204336313,0.88,1.69,-0.698106510095656,0.160521658245822,-0.94,-0.13,NA,NA,NA,NA,0,17.36301,"GEOID99   "
"CRMS0121_2007","Intermediate","Breton Sound",-89.82298,29.69379,2007,0,0,3.24,0,0,0,0.6613,0,0,0,2.1034,0,2.1034,36.2536,"10/30/2007 1:00:00 PM","12/31/2007 11:00:00 PM",1.25229034382243,0.400376990129294,0.42,5.02,0.715736543177957,0.402187616489889,-0.03,2.41,-0.324263455479461,0.402187615424301,-1.07,1.37,17.2379119369171,3.94183812146991,5.73,25.11,16.19863,16.11872,"GEOID99   "
"CRMS0128_2007","Fresh","Breton Sound",-89.94798,29.8317,2007,0.24,0.16,3.26,0,0.2438,0.1311,1.1217,0,0.5851,0.2098,3.7413,0,4.5362,63.3436,"10/29/2007 11:00:00 AM","12/31/2007 11:00:00 PM",0.415101638582886,0.0933501184850439,0.22,0.64,1.01901639203556,0.356746861515525,0.44,1.8,NA,NA,NA,NA,16.5613377111466,3.21472448397028,9.36,23.97,17.40868,17.40868,"GEOID99   "
"CRMS0129_2007","Saline","Breton Sound",-89.60422,29.46879,2007,0,0.04,3.16,0,0,0.1006,1.1655,0,0,0.0402,3.7418,0,3.7821,80.1381,"5/17/2007 11:00:00 AM","12/31/2007 11:00:00 PM",7.64910862351719,2.78441804425557,0.42,16.9,1.14792602353138,0.687322624908841,-0.11,3.76,-0.0520739753089619,0.68732262314366,-1.31,2.56,24.6482314783317,5.67683452841507,5.1,35.38,50.97032,51.84932,"GEOID99   "
"CRMS0131_2007","Intermediate","Breton Sound",-89.88552,29.69252,2007,0,0.18,3.32,0,0,0.3231,0.9538,0,0,0.3121,3.1521,0,3.4643,64.7463,"10/30/2007 1:00:00 PM","12/31/2007 11:00:00 PM",1.66670446677396,0.297525306954548,0.99,2.5,0.702528351386034,0.3957760265078,-0.85,1.96,-0.640240158936664,0.395730816831832,-2.19,0.62,17.9758305610061,3.3939810175612,11.29,24.65,17.11187,17.11187,"GEOID99   "
"CRMS0132_2007","Intermediate","Breton Sound",-89.88548,29.66476,2007,0,0.84,2.96,0,0,0.8777,0.6799,0,0,1.1545,1.9806,0,3.1351,52.0988,"10/30/2007 2:00:00 PM","12/31/2007 11:00:00 PM",2.49232977000034,0.266803947922723,1.71,4.44,0.826682242214212,0.374642300780378,-0.41,2.12,-0.29315086736534,0.374708729084918,-1.53,1,17.9985781011976,3.76653878914871,7.78,25.76,17.10046,17.10046,"GEOID99   "
"CRMS0135_2007","Brackish","Breton Sound",-89.76048,29.68654,2007,0,0,3.312,0,0,0,0.8535,0,0,0,2.8464,0,2.8464,48.6207,"1/1/2007 12:00:00 AM","12/31/2007 11:00:00 PM",1.51075476018127,1.45437810660019,0.17,11.39,0.784310621350455,0.614471908415386,-1.49,2.93,-0.0138362008998357,0.614108183577061,-2.286,2.13,22.8316769927542,6.88992563714028,4.64,35.75,99.52055,99.52055,"GEOID99   "
"CRMS0136_2007","Brackish","Breton Sound",-89.79173,29.62122,2007,0,0.152,3.42,0,0,0.5212,0.9219,0,0,0.2046,3.1348,0,3.3394,75.0457,"1/1/2007 12:00:00 AM","12/31/2007 11:00:00 PM",2.5001970267348,1.06980575347657,0.97,7.82,0.710357512513129,0.682545652669587,-1.55,2.96,-0.629642486117506,0.682545653326933,-2.89,1.62,23.0825974031805,6.76773215381967,6.12,35.09,99.07534,98.98402,"GEOID99   "
