"Site_id","Marsh_Class","Basin","Longitude","Latitude","veg_year","Percent_Cover_Tree.m...","Percent_Cover_Shrub.m...","Percent_Cover_Herb.m...","Percent_Cover_Carpet.m...","Avg_Height_Tree.m.","Avg_Height_Shrub.m.","Avg_Height_Herb.m.","Avg_Height_Carpet.m.","Volume_Tree.m...","Volume_Shrub.m...","Volume_Herb.m...","Volume_Carpet.m...","Volume_Vegetation.m...","VVI","year","min_date","max_date","avg_salinity..ppt.","std_deviation_salinity..ppt.","min_salinity..ppt.","max_salinity..ppt.","avg_adj_water_elev_datum.ft.","std_deviation_adj_water_elev_datum.ft.","min_adj_water_elev_datum.ft.","max_adj_water_elev_datum.ft.","avg_adj_water_elev_to_marsh.ft.","std_deviation_adj_water_elev_to_marsh..ft.","min_adj_water_elev_to_marsh.ft.","max_adj_water_elev_to_marsh.ft.","avg_water_temperature..C.DegC.","std_deviation_water_temperature..C.DegC.","min_temperature..C.DegC.","max_temperature..C.DegC.","percent_salinity_complete","percent_water_level_complete","GEOID"
"CRMS0135_2006","Brackish","Breton Sound",-89.76048,29.68654,2006,0,0,2.84,0,0,0,1.1552,0,0,0,3.3565,0,3.3565,64.8849,2006,"6/20/2006 11:00:00 AM","12/31/2006 11:00:00 PM",5.60542690660309,2.54132446528938,0.33,14.35,0.763432986613845,0.516083536180803,-0.96,2.96,-0.0325670127226226,0.516083535931961,-1.756,2.164,26.0288522861443,6.82821832060756,5.89,35.62,45.05708,45.05708,"GEOID99   "
"CRMS0136_2006","Brackish","Breton Sound",-89.79173,29.62122,2006,0,0,3.488,0,0,0,0.9813,0,0,0,3.4244,0,3.4244,77.7345,2006,"8/23/2006 10:00:00 AM","12/31/2006 11:00:00 PM",8.01248162083249,1.82885047240106,4.02,13.46,0.6577346992274,0.670394612012803,-1.44,2.95,-0.682265298878514,0.670394613031315,-2.78,1.61,21.7269144727686,6.8182235509943,6.38,33.82,35.69635,35.62785,"GEOID99   "
"CRMS0147_2006","Saline","Breton Sound",-89.60422,29.66476,2006,0,0,3.656,0,0,0,0.8199,0,0,0,2.9541,0,2.9541,64.728,2006,"6/8/2006 2:00:00 PM","12/31/2006 11:00:00 PM",13.5573866215571,2.5502888919504,5.94,21.84,0.601790490948365,0.71399905587434,-1.49,3.2,-0.268209507871349,0.71399905528187,-2.36,2.33,24.7851453917477,7.22385155663918,4.36,35.65,56.13013,55.46803,"GEOID99   "
"CRMS0164_2006","Saline","Barataria",-90.16994,29.19306,2006,0,0,2.96,0,0,0,0.7528,0,0,0,2.2657,0,2.2657,45.347,2006,"6/5/2006 1:00:00 PM","12/31/2006 11:00:00 PM",25.468521690824,2.723415116186,16.95,31.01,0.824114603541163,0.466136723547382,-0.55,2.73,-0.10809391163589,0.466259965612059,-1.48,1.79,25.2812057412387,6.66450415780734,4.14,35.55,57.37443,57.37443,"GEOID99   "
"CRMS0173_2006","Saline","Barataria",-89.72993,29.4543,2006,0,0,3.54,0,0,0,0.9233,0,0,0,3.2775,0,3.2775,77.5729,2006,"6/8/2006 5:00:00 PM","12/31/2006 11:00:00 PM",19.358805514676,3.07752812790631,13.08,26.42,0.988729762372315,0.577279277569995,-0.32,3.57,0.0487297635557166,0.57727927853527,-1.26,2.63,25.1338735097968,7.07248080911718,-1.01,37.5,55.52511,55,"GEOID99   "
"CRMS0174_2006","Saline","Barataria",-89.76302,29.3963,2006,0,0,3.18,0,0,0,0.8382,0,0,0,2.6462,0,2.6462,57.4462,2006,"6/8/2006 11:00:00 AM","12/31/2006 11:00:00 PM",20.6157472824949,3.29237985259593,12.42,27.76,1.09467989511255,0.623407988820184,-0.57,3.57,0.104679896115391,0.623407988966214,-1.56,2.58,24.4119485367111,6.93124661350609,2.52,37.03,48.42466,48.32192,"GEOID99   "
"CRMS0175_2006","Saline","Barataria",-90.13792,29.2874,2006,0,0,2.78,0,0,0,0.7469,0,0,0,2.0852,0,2.0852,37.9614,2006,"6/5/2006 5:00:00 PM","12/31/2006 11:00:00 PM",22.5637690738096,3.43896505824718,11.35,29.87,NA,NA,NA,NA,NA,NA,NA,NA,25.6624809317165,7.3115183943326,2.03,38.14,53.88128,0,"GEOID99   "
"CRMS0176_2006","Saline","Barataria",-89.79333,29.41078,2006,0,0,2.34,0,0,0,0.7665,0,0,0,1.7961,0,1.7961,29.495,2006,"6/8/2006 3:00:00 PM","12/31/2006 11:00:00 PM",21.3071023875944,3.70538217682751,13.79,33.61,1.02312876538807,0.616415642123153,-1.09,3.44,-0.436871234136344,0.616415642948916,-2.55,1.98,24.9238864162717,6.94479266377571,3.85,35.92,51.1758,51.15297,"GEOID99   "
"CRMS0179_2006","Saline","Barataria",-89.69845,29.39623,2006,0,0,3.28,0,0,0,0.9844,0,0,0,3.2231,0,3.2231,71.3654,2006,"6/21/2006 12:00:00 PM","12/31/2006 11:00:00 PM",19.1240817807703,4.26806328868009,8.4,28.05,0.938431609307635,0.646122201795045,-1.28,3.46,-0.121568390433377,0.646122201199015,-2.34,2.4,25.1371338804198,7.43428330435803,2.42,38.45,47.18037,47.23744,"GEOID99   "
"CRMS0184_2006","Swamp","Barataria",-90.07272,29.8026,2006,1.3,0,2.8,0.032,0,0,0.725,0.005,0,0,2.1072,0.0016,2.1088,32.1243,2006,"6/5/2006 3:00:00 PM","12/31/2006 11:00:00 PM",NA,NA,NA,NA,1.38475612059262,0.315755742739516,0.5,2.4,0.634756120946388,0.315755740778694,-0.25,1.65,22.3258658341921,4.16484129783954,12.52,26.36,0,57.34018,"GEOID99   "
"CRMS0188_2006","Intermediate","Barataria",-90.13549,29.79541,2006,0.64,0,3.12,0,0,0,0.8414,0,0,0,2.5901,0,2.5901,38.6534,2006,"8/3/2006 1:00:00 PM","12/31/2006 11:00:00 PM",1.66843190837582,1.2687440264312,0,7.12,0.843826354854576,0.470205976719019,-0.64,2.32,NA,NA,NA,NA,23.4839910750693,6.42717147981505,6.96,33,33.19635,33.26484,"GEOID99   "
"CRMS0190_2006","Intermediate","Barataria",-90.26049,29.52686,2006,0,0,3.06,0,0,0,0.9205,0,0,0,2.7743,0,2.7743,40.6261,2006,"6/13/2006 10:00:00 AM","12/31/2006 11:00:00 PM",5.62291655937831,0.00907896061609335,5.62,5.66,0.812425689758221,0.318378228897571,0.36,2.59,-0.0323702974328764,0.332030802359801,-0.58,1.71,21.8948509765394,0.903878055349946,18.95,25.16,0.2739726,54.92009,"GEOID99   "
"CRMS0192_2006","Fresh","Barataria",-90.54175,29.85348,2006,0,0,3.772,0,0,0,1.0362,0,0,0,3.9168,0,3.9168,55.6459,2006,"6/27/2006 10:00:00 AM","12/31/2006 11:00:00 PM",0.117134606800824,0.0221426995546847,0.07,0.18,0.723825805763581,0.479268887672035,-0.03,1.73,-0.457574412787291,0.485292125736027,-1.3,0.51,19.2237005521858,4.95326203492047,9.64,23.9,51.39269,45.74201,"GEOID99   "
"CRMS0209_2006","Saline","Barataria",-89.79173,29.49057,2006,0,0,2.6,0,0,0,0.727,0,0,0,1.8947,0,1.8947,32.2442,2006,"6/20/2006 3:00:00 PM","12/31/2006 11:00:00 PM",18.5291324350192,2.05848146961552,8.54,23.21,0.822762976174675,0.593564085537696,-0.77,3.43,-0.128360128589317,0.593888641061679,-1.72,2.48,24.5001975339884,7.08260628970599,1.3,36.17,49.73744,49.7032,"GEOID99   "
"CRMS0211_2006","Fresh","Barataria",-90.47925,29.7809,2006,0,0.16,3.7,0,0,0.2438,0.8868,0,0,0.195,3.2864,0,3.4814,49.6983,2006,"11/9/2006 3:00:00 PM","12/31/2006 11:00:00 PM",0.340365953654549,0.0338062061835936,0.24,0.39,0.715322193828194,0.179404745399678,0.51,1.19,-0.039554495385173,0.182151750407558,-0.25,0.44,11.7317024612579,2.17918364539132,6.54,15.93,14.34931,14.34931,"GEOID99   "
"CRMS0219_2006","Fresh","Barataria",-90.32299,29.80267,2006,0,0,3.14,0,0,0,0.9478,0,0,0,2.969,0,2.969,43.0753,2006,"8/3/2006 1:00:00 PM","12/31/2006 11:00:00 PM",0.835155212281152,0.136833478459686,0.64,1.06,0.840675276938741,0.307445752590442,0.22,1.85,0.0439201883568337,0.332526605163634,-0.6,0.94,21.5182382221697,2.67941711996543,14.97,24.39,41.18721,38.88128,"GEOID99   "
"CRMS0220_2006","Brackish","Barataria",-90.07299,29.56315,2006,0,0,2.98,0,0,0,0.8778,0,0,0,2.6492,0,2.6492,52.3178,2006,"6/13/2006 4:00:00 PM","12/31/2006 11:00:00 PM",11.5161452364866,3.37131999548877,1.96,24.19,0.810304708786399,0.429603215000906,-0.37,2.91,-0.359754953591358,0.429623096495586,-1.54,1.74,24.9390732147797,7.32410555928958,-0.49,38.04,54.07534,53.57306,"GEOID99   "
"CRMS0224_2006","Saline","Barataria",-89.91673,29.49782,2006,0,0,3.14,0,0,0,0.9905,0,0,0,3.1453,0,3.1453,67.1889,2006,"6/7/2006 3:00:00 PM","12/31/2006 11:00:00 PM",17.3304197896979,2.63598547761048,6.92,23.92,1.45817854767222,0.511865518326434,0.43,3.84,0.198178548465524,0.511865518334357,-0.83,2.58,24.6736655961722,7.09247789499829,-1.31,37.67,50.30822,53.96119,"GEOID99   "
"CRMS0225_2006","Brackish","Barataria",-90.01048,29.56315,2006,0,0,2.48,0,0,0,0.7589,0,0,0,1.892,0,1.892,32.9695,2006,"6/21/2006 3:00:00 PM","12/31/2006 11:00:00 PM",12.0735538632475,4.01699045044465,2.18,19.61,NA,NA,NA,NA,NA,NA,NA,NA,20.541603476358,6.43424416296322,4.11,32.43,31.57534,0,"GEOID99   "
"CRMS0226_2006","Saline","Barataria",-89.88548,29.51234,2006,0,0,3.8,0,0,0,0.9172,0,0,0,3.4854,0,3.4854,80.3647,2006,"6/20/2006 11:00:00 AM","12/31/2006 11:00:00 PM",17.0023660663878,2.67952686863245,8.13,22.92,0.924871409548613,0.59436654565175,-1.57,3.42,-0.542696099266477,0.594355602296406,-3.04,1.95,24.731215169999,7.23756443990152,5.46,35.06,53.26484,53.26484,"GEOID99   "
"CRMS0232_2006","Saline","Barataria",-90.01048,29.49783,2006,0,0,3.76,0,0,0,0.8624,0,0,0,3.243,0,3.243,76.4992,2006,"6/6/2006 2:00:00 PM","12/31/2006 11:00:00 PM",14.280964087256,3.71957295156652,2.03,27.98,0.848528789790771,0.447438890974525,-0.35,2.99,-0.0989672476602881,0.447878445541425,-1.29,2.04,26.8758954048409,6.00290016937722,7.48,36.79,43.21918,43.21918,"GEOID99   "
"CRMS0237_2006","Saline","Barataria",-89.94798,29.47605,2006,0,0,3.26,0,0,0,1.1674,0,0,0,3.8228,0,3.8228,85.5673,2006,"6/7/2006 11:00:00 AM","12/31/2006 11:00:00 PM",16.1623383340381,3.39660458088279,4.09,22.96,0.871361991332215,0.603197021934055,-1.34,3.33,-0.239570108766553,0.603366830632064,-2.45,2.22,25.1390277116162,6.83769981305613,4.1,35.09,45.54794,56.82648,"GEOID99   "
"CRMS0251_2006","Brackish","Barataria",-90.01048,29.5196,2006,0,0,3.5,0,0,0,0.9599,0,0,0,3.3538,0,3.3538,77.1508,2006,"6/13/2006 5:00:00 PM","12/31/2006 11:00:00 PM",14.2302522190904,3.36365231043813,3.76,25.67,0.854964920059771,0.34661145271193,0.17,2.23,-0.0504695091047764,0.346921523353999,-0.73,1.32,24.41293934065,7.98542179778167,-1.6,39.2,51.59818,42.30594,"GEOID99   "
